#JEAcakoprtu2002Roo#Acorus calamus#Konyo Province,Turkey#1997#VOL. 14,366-368 (Sep/Oct 2002)#Volatile Constituents of the Essential Oil of Acorus calamus L. Growth in Konya Province (Turkey).#M. Ozcan,A. Akgul,J.C Chalchat.#Journal of Essential Oil Research#Acoraceae#Plant,,,,,,,,,,
#JEAcaceli2003lea#Acorus calamus#Central Lithuania#1998#VOL. 15,313-318 (Sep/Oct 2003)#Composition of Essential Oil of Sweet Flag(Acorus calamus L.) Leaves at Different Growing Phases#Petras R. Venskutonis,Audrone Dagilyte#Journal of Essential Oil Research#Acoraceae#Plant,,,,,,,,,,,,
#JEAcaceli2003Rhi#Acorus calamus#Central Lithuania#1998#VOL. 15,313-318 (Sep/Oct 2003)#Composition of Essential Oil of Sweet Flag(Acorus calamus L.) Leaves at Different Growing Phases#Petras R. Venskutonis,Audrone Dagilyte#Journal of Essential Oil Research#Acoraceae#Plant,,,,,,,,,,,,
#JEAcain2003Lea#Acorus calamus#India(Uttaranchal)#2000#VOL. 18,18-20 (2003)#Essential Oil Composition of Acorus calamus L. from the lower region of the Himalayas#V. K. Raina,S. K. Srivastava,K. V. Syamasunder#Flavour and Fragrance Journal#Acoraceae#Plant,,,,,,,,,,,
#JEAcain2003Rhi#Acorus calamus#India(Uttaranchal)#2000#VOL. 18,18-20 (2003)#Essential Oil Composition of Acorus calamus L. from the lower region of the Himalayas#V. K. Raina,S. K. Srivastava,K. V. Syamasunder#Flavour and Fragrance Journal#Acoraceae#Plant,,,,,,,,,,,
#JEAcaqu2008Ste#Acorus calamus#Quebec#NA#VOL. 20,250-254 (May/June 2008)#Aromas from Quebec. I. Composition of the Essential Oil of the rhizomes of Acorus calamus L.#Francoois-Xavier Garneau,Guy Collin,Andre Pichette#Journal of Essential Oil Research#Acoraceae#Plant,,,,,,,,,,,
#JEAchbair2002Fem#Acitinidia chinensis#Babolsar,Iran#NA#VOL. 14,414-415 (Nov/Dec 2002)#Headspace Analysis of the Male and Female Flowers of Kiwifruit Grown in Iran.#A. Samadi-Maybodi,M.R. Shariat,M. Zarei,M.B. Rezai.#Journal of Essential Oil Research#Actinidiaceae#Plant,,,,,,,,,
#JEAchbair2002Mal#Acitinidia chinensis#Babolsar,Iran#NA#VOL. 14,414-415 (Nov/Dec 2002)#Headspace Analysis of the Male and Female Flowers of Kiwifruit Grown in Iran.#A. Samadi-Maybodi,M.R. Shariat,M. Zarei,M.B. Rezai.#Journal of Essential Oil Research#Actinidiaceae#Plant,,,,,,,,,
#JEAsatu2014bul#Allium sativum (L.)#Tunisia#NA#VOL. 26,91-96 (Mar/Apr 2014)#Composition of garlic essential oil (Allium sativum L.) as influenced by drying method#Salma Dziri,Hervé Casabianca,Belgacem Hanchi & Karim Hosni#Journal of Essential Oil Research#Alliaceae#Plant,,,,,,,,,,,
#JECamciin2002Aer#Chenopodium ambrosioides#CIMAP,India#1999#VOL. 14,93-94 (Mar/Apr 2002)#Chemical Examination of the Essential Oil of Chenopodium ambrosioides L. from the Southern Hills of India.#Deepti Gupta,Reena Charles,V. K. Mehta,S. N. Garg,Sushil kumar.#Journal of Essential Oil Research#Amaranthaceae#Plant,,,,,,,,
#JECamhacu2003Aer#Chenopodium ambrosioides#Havana,Cuba#NA#VOL. 15,193-194 (May/June 2003)#Essential Oil of Chenopodium ambrosioides L. from Cuba.#Jorge A. Pino,Rolando Marbot,Ida M. Real.#Journal of Essential Oil Research#Amaranthaceae#Plant,,,,,,,,,,
#JEAfigudemeha2000Aer#Allium fistulosum#Guira de melena,Havana,Cuba#NA#VOL. 12,553-555 (Sep/Oct 2000)#Volatile Flavor Compounds from Allium fistulosum L.#Jorge A. Pino,Aristides Rosado,Victor Fuentes.#Journal of Essential Oil Research#Amaryllidaceae#Plant,,,,,,,,,
#JEClahochmici2003lea#Crinum latifolium#Ho Chi Min City(Vietnam)#NA#VOL. 15,195-197(May/June 2003)#Volatiles from Crinum latifolium#Nguyen Thi Ngoc Tram,Zomitza G.Kamenarska,Nedyalka V.Handjieva,Vassya S. Bankova,Simeon S. Popov#Journal of Essential Oil Research#Amaryllidaceae#Plant,,,,,,,,,
